,names,prices,sku,categories,tag
72,Moon & Star Kelloggs 49.5G,₦124.99,Moon & Star Kelloggs 49.5G,Category: Cereals,Tag: Moon & Star Kelloggs
73,Noodle Crayfish Indomie 70G,₦124.99,Noodle Crayfish Indomie 70G,Category: Food,Tag: Noodle
74,"Health Drink Ribena 125ML, BLKCUR125ML",₦129.99,"Health Drink Ribena 125ML, BLKCUR125ML",Category: Carbonated Juices,Null
75,Energy Drink Boost Lucozade 125ML,₦129.99,Energy Drink Boost Lucozade 125ML,Category: Carbonated Juices,Null
76,"Noodles Inst Indomie 70G, Chic Pepper",₦129.99,"Noodles Inst Indomie 70G, Chic Pepper",Category: Food,Tag: Noodles
77,Noodle Crayfish Indomie 70G,₦129.99,Noodle Crayfish Indomie 70G,Category: Food,Tag: Noodle
78,Noodles Beef Indomie 70G,₦129.99,Noodles Beef Indomie 70G,Category: Food,Tag: Noodles
79,"Noodles Inst Indomie 70G, Chic Sfried",₦129.99,"Noodles Inst Indomie 70G, Chic Sfried",Category: Food,Tag: Noodles
80,Cheese Balls 50G Val Pack,₦129.99,Snack Cheese Balls Niksnacks 50G Val Pk,Category: Confectionery and Snacks,Tag: Snack
81,Buns Fun 1S,₦129.99,Buns Fun 1S,Category: Bakery,Tag: Buns
82,Hot Choc 3In1 Cadbury 30G,₦129.99,Hot Choc 3In1 Cadbury 30G,Category: HotCoco,Tag: 3In1 Cadbury
83,Coke 350Ml Pet,₦129.99,Coke 350Ml Pet,Category: Juice,Tag: Coke
84,Toilet Rolls Soft Family Rose 1Ea Pack,₦129.99,Toilet Rolls Soft Family Rose 1Ea Pack,Category: Kitchen,Tag: Toilet Roll
85,Milk Hollandia 50G,₦134.99,Evaporated Milk Hollandia 50G,"Categories: Hot Drinks and UHT Milk, Milk",Tag: Evaporated Milk
86,"Noodles Indomie 70G, Onion",₦134.99,"Noodles Indomie 70G, Onion","Category: Rice, Grains & Pasta",Tag: Noodles
87,Rolls White Hotdog 1S,₦139.99,Rolls White Hotdog Bakery 1S,Category: Bakery,Tag: Rolls
88,Grain Smart Golden Morn 45G,₦139.99,Grain Smart Golden Morn 45G,Category: Cereals,Tag: Golden Morn
89,"Noodles Golden Penny 100G, Chicken",₦139.99,"Noodles Golden Penny 100G, Chicken","Category: Rice, Grains & Pasta",Tag: Noodles Golden Penny
90,Salt Iodised Dangote 500G,₦139.99,Salt Iodised Dangote 500G,"Category: Condiments, Oils & Spices",Tag: Salt
91,Milk Full Cream Kerrygold 16G Sachet,₦139.99,Milk Full Cream Kerrygold 16G Sachet,Category: Milk,Tag: Milk
92,Hot Chocolates 3In1 Cadbury 30G,₦149.99,Null,Null,Null
93,Original Sprite 350Ml Nrb,₦149.99,Soft Drink Original Sprite 350Ml Nrb,Category: Carbonated Juices,Tag: Soft Drink
94,"Fanta 350Ml Nrb, Orange",₦149.99,"Soft Drink Fanta 350Ml Nrb, Orange",Category: Carbonated Juices,Tag: Soft Drink
95,"Coca Cola 350Ml Nrb, Reg",₦149.99,Null,Category: Carbonated Juices,Tag: Soft Drink
96,Oats Quaker 40G Sachet,₦149.99,Oats Quaker 40G Sachet,Category: Cereals,Tag: Oats
97,Noodles Tasty Chicken Supreme 100G,₦149.99,Noodles Tasty Chicken Supreme 100G,"Category: Rice, Grains & Pasta",Tag: Noodles Tasty Chicken
98,Sugar Free 7Up 400Ml,₦149.99,Sugar Free 7Up 400Ml,Category: Soda & Energy drink,Tag: 7Up
99,Sugar Free Orange Mirinda 400Ml,₦149.99,Sugar Free Orange Mirinda 400Ml,Category: Soda & Energy drink,Tag: Mirinda
